entry_date,origin_countries,target_countries,start_date,end_date,announced_date,budget_usd,total_accounts,fb_accounts,fb_pages,reachable_audience,fb_pages_followers,fb_groups,fb_groups_followers,Events,ig_accounts,ig_followers,Affiliation,keywords,description,Source,url
12/21/2019,Georgia,Georgia,-,-,12/20/2019,"316,000",418,39,344,"496,400","442,300",13,52000,-,22,"2,100","Panda, an advertising agency in Georgia, and the Georgian Dream-led government","Domestic news, elections, government policies, public officials, criticism of the opposition, criticism of activist groups","Domestic news and political issues such as elections, government policies, public officials, criticism of the opposition and local activist organizations",FB internal investigation and public reporting,https://about.fb.com/news/2019/12/removing-coordinated-inauthentic-behavior-from-georgia-vietnam-and-the-us/
12/21/2019,"Vietnam, USA","US, Vietnam",-,-,12/20/2019,"9,500,000",927,610,89,"55,473,500","55,000,000",156,"381,500",-,72,"92,000","Epoch Media Group, a US-based media organization","US politics, impeachment, conservative ideology, political candidates, elections, trade, family values, freedom of religion","US political news and issues including impeachment, conservative ideology, political candidates, elections, trade, family values and freedom of religion",FB internal investigation and public reporting,https://about.fb.com/news/2019/12/removing-coordinated-inauthentic-behavior-from-georgia-vietnam-and-the-us/
11/5/2019,Russia,Libya,May-14,Oct-19,10/30/2019,"10,000",28,14,12,"241,301","212,000",1,1,-,1,"29,300",-,"Libyan politics, crimes, natural disasters, public health, Turkish politics, terrorism, illegal migration, militia violence, elections, US policies, Russian policies","Libyan politics, crimes, natural disasters, public health, Turkey•À?s alleged sponsoring of terrorism in Libya, illegal migration, militia violence, the detention of Russian citizens in Libya for alleged interference in elections and a meeting between Khalifa Haftar, head of the Libyan National Army, and Putin. criticism of the Government of National Accord, US foreign policy, and Haftar, as well as support of Muammar Gaddafi and his son Saif al-Islam Gaddafi, Russian foreign policy, and Khalifa Haftar. ",Stanford Internet Observatory and open source reporting,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/5/2019,Russia,"Madagascar, Central African Republic, Mozambique, Democratic Republic of the Congo, Ivory Coast, Cameroon",Apr-18,Oct-19,10/30/2019,"77,000",100,35,53,"476,100","475,000",7,450,-,5,650,-,"Russian policies in Africa, elections, French policies, US policies","Russian policies in Africa, elections in Madagascar and Mozambique, election monitoring by a local non-governmental organization and criticism of French and US policies",FB internal investigation and open source reporting,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/5/2019,Russia,Sudan,Apr-18,Sep-19,10/30/2019,160,44,17,18,"461,200","457,000",3,"1,300",-,6,"2,900",-,"Sudan-Russia relations, US-Russia relations, Russian policies, Muslims in Russia","Sudanese-Russian relations, US-Russian relations, Russian foreign policy and Muslims in Russia",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/5/2019,Iran,"USA, North Africa",-,-,10/21/2019,-,114,93,17,"7,845","7,700",0,0,-,4,145,-,"Public figures in the US, US politics, Israeli politics, pro-Palestine, conflict in Yemen","Public figures in the US, politics in the US and Israel, support of Palestine and conflict in Yemen",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/5/2019,Iran,"Venezuela, Brazil, Argentina, Bolivia, Peru, Ecuador, Mexico",-,-,10/21/2019,-,58,38,6,"77,600","13,400",4,"4,200",-,10,"60,000",-,"Hezbollah, Iran-Saudi Arabia conflict, Israel-Palestine conflict, Iran-US relations, war in Yemen, domestic news","Shared Iranian state media stories on topics like Hezbollah, conflict between Iran and Saudi Arabia, tensions between Israel and Palestine and Iran and the US, war in Yemen. Local and domestic politics and news. ",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/5/2019,Iran,USA,-,-,10/21/2019,2,14,4,3,"7,345",45,0,0,-,7,"7,300",-,"Race in the US, US-Israel policy on Iran, the Black Lives Matter movement, African-American culture, Iranian policies","Race relations in the US, criticism of US and Israel•À?s policy on Iran, the Black Lives Matter movement, African-American culture and the Iranian foreign policy",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/5/2019,Russia,USA,-,-,10/21/2019,-,51,1,0,"246,000",0,0,0,-,50,"246,000",Internet Research Agency (IRA) and Yevgeny Prigozhin,"Elections, environmental issues, Race in the US, LGBTQ issues, political candidates, White Supremacy, conservatism, liberalism","Screenshots of social media posts by news organizations and public figures. US elections, environmental issues, racial tensions, LGBTQ issues, political candidates, confederate ideas, conservatism and liberalism.",FB internal investigation ahead of the US elections,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/6/2019,"UAE, Egypt, Nigeria",Various,-,-,10/3/2019,"150,000",448,211,107,"1,470,100","1,400,000",43,100,-,87,"70,000","Charles Communications in UAE, MintReach in Nigeria and Flexell in Egypt.","Elections, war in Yemen, the first Emirati astronaut, criticism of Qatar, criticism of Turkey, criticism of Iran, the Iran nuclear deal, Muslim Brotherhood","Elections and candidates, UAE•À?s activity in Yemen, the first Emirati astronaut, criticism of Qatar, Turkey, and Iran, the Iran nuclear deal, and criticism of the Muslim Brotherhood.",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/6/2019,Indonesia,West Papua ,-,-,10/3/2019,"300,000",145,69,42,"530,000","410,000",0,0,-,34,"120,000",Media firm InsightID,West Papua independence movement,"West Papua, support and criticism of the independence movement",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/7/2019,Egypt,"Somalia, Yemen, Saudi Arabia, Sudan, Yemen, Tunisia, Iran, Turkey, Lebanon, Qatar",-,-,10/3/2019,"31,000",251,163,51,"5,606,000","5,600,000",33,"3,000",,4,"3,000",Newspaper El Fagr,"support of the United Arab Emirates, support of Saudi Arabia, support of Egypt, Yemen war, criticism of Qatar, criticism of Turkey, criticism of Iran","Domestic news and political topics including content in support of the United Arab Emirates, Saudi Arabia, and Egypt, criticism of Qatar, Iran, and Turkey, and Yemen•À?s southern separatist movement",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/7/2019,Spain,Spain,-,-,9/20/2019,"1,275",100,65,0,"5,000",0,0,0,-,35,"5,000",-,"Elections, criticism of its political opponents. "," Local and national political news and issues including topics like elections, the Partido Popular Party and criticism of its political opponents.",Twitter,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-in-spain/
11/7/2019,Iraq,Iraq,-,-,9/16/2019,"1,600",204,76,120,"1,941,000","1,600,000",1,"339,000",2,7,"2,000",-,"religion, Saddam Hussein, Iraqi military, Iran tension, the US military in Iraq, Iranian-backed militia operating in Iraq, Kurdish-Iraqi politics","Domestic political and societal issues such as religion, various public figures including Saddam Hussein, the state of the military under the Saddam rule, tensions with Iran, the US military action in Iraq, Iranian-backed militia operating in Iraq and Kurdish-Iraqi politics",FB internal investigation,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-from-iraq-and-ukraine/
11/7/2019,Ukraine,Ukraine,-,-,9/16/2019,"1,600,000",396,168,149,"4,601,000","4,200,000",79,"401,000",-,0,,-,"Celebrities, show business, sports, domestic news, elections, public figures ","Celebrities, show business, sports, local and international news, political and economic issues including Ukrainian elections, political candidates and criticism of various public figures.",FB internal investigation,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-from-iraq-and-ukraine/
11/10/2019,Myanmar,Myanmar,-,-,8/21/2019,"1,200",216,89,107,"967,400","900,000",15,"67,000",-,5,400,Myanmar military,"crime, ethnic relations, celebrities, military","National and local topics, including crime, ethnic relations, celebrities, and the military",FB internal investigation,https://newsroom.fb.com/news/2019/08/more-cib-myanmar/
11/7/2019,China,Hong Kong,,,8/19/2019,,15,5,7,"17,700","15,500",3,"2,200",,,,Chinese gvt ,Protests in Hong Kong,Protests in Hong Kong,Twitter,https://about.fb.com/news/2019/08/removing-cib-china/
11/7/2019,UAE and Egypt,"Libya, Sudan, Comoros, Qatar, Turkey, Lebanon, Syria, Jordan, Morocco",-,-,8/1/2019,"167,000",383,259,102,"13,774,000","13,700,000",5,"9,000",4,17,"65,000","New Waves in Egypt, and Newave in the UAE","Domestic news, elections, Qatari policies, Turkish policies, Yemen war, Libyan conflict, Saudi-led coalition in Yemen, independence for Somaliland","Local news, politics, elections and topics including alleged support of terrorist groups by Qatar and Turkey, Iran•À?s activity in Yemen, the conflict in Libya, successes of the Saudi-led coalition in Yemen, and independence for Somaliland",FB internal investigation,https://newsroom.fb.com/news/2019/08/cib-uae-egypt-saudi-arabia/
